crimeaditionalinfo,is_spam_8b,confidence_8b,is_spam_teacher,confidence_teacher
"We are reseller of digital devices and we placed order at merchant website dated   httpsservicomantratecappcomProductProductaspx
Order was failing  so we tried  times and money debited  times  transaction was refunded on same date but below  transactions were not refunded
INBPAYUIN Amount  Payu Amount  Payu Amount ",spam,0.95,not_spam,0.99
Myself being the victim did a big mistake by attending the video call from unknown person though I know them in Facebook for few months now I said no to video chat intially but was induced to take up video call by trust saying it is only for romance or just seeing eachother and not for sex video chat Post video chat was over the person named Ishika Batra same name in Facebook account too started black mailing for money and said the video has been recorded  will be sent in facebook and uploaded in sex sites Instagram To avoid such i followed them and paid Rs  to get the video deleted but the fraudulent asked for  more which I suspected this will go forever Therefore I blocked the whatsapp account and deactivated my facebook ID reported to few close ones to not to look into any videos related to me sent by unknown people or spam msgs Kindly save me I In deep trouble if the video are being leaked out Hope you will find a solution  Thank you,not_spam,0.95,not_spam,0.99
CALLER INFORMED TAHT SHE LOSED AMOUNT  REASON HE SOME ONE SAID MUDRA LOAN CENCTION FOR U PLEASE PAYED SOME FEES SO SHE IS PAID  THEN  FIND HE FACK CALLER ,spam,0.95,not_spam,0.99
Please refund my money by froud by unnon no  please prosess this requst and help me i am very sorry for this kind of reason this tipe of pupile has very hard punis ment okvdjdv sjodgsidhidkd tgggkdg diijd hjdosgd,spam,0.95,not_spam,0.65
"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My bank account was unathorised, and then I got locked out of everything. I don’t think I’ve ever felt this violated before. My privacy is completely shattered, and I can’t do anything to make it stop. Even my tablet isn’t working right anymore. It’s so stange how everything just fell apart after that one email.",not_spam,0.75,not_spam,0.99
"Dear Sirmam
I am hear to report  some  twitter handles which are involve in circulation on indecent images and videos of childrens  Twitter handle  Selim  was retweeted many tweets which was indecent Content is heinous in nature Please take action Thankyou",not_spam,0.95,not_spam,0.99
"The person has put Rajesh Patil PCMC Commissioner sir photo as
whatsapp profile and he is trying to make contact with the PCMC corporators and asking them for financial help in terms of Amazon pay
gift card people are getting confuse by seeing municipal commissioner sirs photo on whatsapp call if anyone reply as per his demand then it could be a financial loss of that citizen of PCMC",spam,0.95,not_spam,0.99
sir online CSP walon ne  rupaye ki thagi kar li aur kaha aapko SBI Bank ki ki mini branch ki ki shakha di jayegi humne lalach basa kar  rupaye de diye aur ab kai bar FIR ki aur koi bhi abhi sunbayi nhi huyi,not_spam,0.95,not_spam,0.99
Financial Fraud  ,not_spam,0.95,not_spam,0.98
"Complainant lost the above amount when she replied to the calls where
fraudster offered online employment and asked to pay amount and finally
lost amount total amount of Rs  hence I request your kind
authority to take necessary action",not_spam,0.95,not_spam,0.99
I paid for shopping some stuffs from the instagram account and they asked to pay it from paytm and they shared their details and i paid the amount hoping for the stuffs to come and they blocked me and even didnt send any stuffs so i request you to take strict action,not_spam,0.95,not_spam,0.99
"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help",not_spam,0.95,not_spam,0.98
